c	d	c1	c2	c3	c4	c5
90	791969168	791969168	6.27215163062612E+017	4.96735070847681E+026	3.93398860775659E+035	3.11559768460647E+044
91	800867698	800867698	6.41389069699819E+017	5.13667787772856E+026	4.113799387304E+035	3.29460904534396E+044
92	809766228	809766228	6.55721344009348E+017	5.3098099935754E+026	4.29970480989426E+035	3.48175574542153E+044
93	818664758	818664758	6.70211985991199E+017	5.48678933320184E+026	4.49184106166267E+035	3.67731197572053E+044
94	827563288	827563288	6.84860995645371E+017	5.66765817379237E+026	4.69034583356369E+035	3.88155801988107E+044
95	836461818	836461818	6.99668372971865E+017	5.85245879253148E+026	4.89535832137097E+035	4.09478032125539E+044
96	845360348	845360348	7.14634117970681E+017	6.04123346660368E+026	5.10701922567733E+035	4.31727154986128E+044
97	854258878	854258878	7.29758230641819E+017	6.23402447319345E+026	5.32547075189478E+035	4.54933066933545E+044
98	863157408	863157408	7.45040710985279E+017	6.4308740894853E+026	5.55085661025449E+035	4.79126300388693E+044
99	872055938	872055938	7.6048155900106E+017	6.63182459266372E+026	5.78332201580683E+035	5.04338030525047E+044
100	880954468	880954468	7.76080774689163E+017	6.8369182599132E+026	6.02301368842131E+035	5.30600081963992E+044
